elapsed_seconds,throughput_tflops,telemetry
0.052661895751953125,19.777082134656727,"['2026/09/22 22:48:55.454', ' 0', ' 49', ' 30.40', ' 585', ' 5000']"
5.093165636062622,20.1014636522231,"['2026/09/22 22:49:00.499', ' 0', ' 49', ' 29.81', ' 585', ' 5000']"
10.13632607460022,20.221162330283363,"['2026/09/22 22:49:05.540', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
15.180386781692505,20.179472028081847,"['2026/09/22 22:49:10.586', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
20.221107482910156,20.200841973581,"['2026/09/22 22:49:15.627', ' 0', ' 49', ' 36.79', ' 585', ' 5000']"
25.26327657699585,20.306873933761366,"['2026/09/22 22:49:20.668', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
30.304847717285156,20.203576911616068,"['2026/09/22 22:49:25.710', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
35.34613513946533,20.220653599986072,"['2026/09/22 22:49:30.751', ' 0', ' 49', ' 31.09', ' 585', ' 5000']"
40.39304208755493,20.055338427912616,"['2026/09/22 22:49:35.796', ' 0', ' 49', ' 33.13', ' 585', ' 5000']"
45.433743476867676,20.2559504843425,"['2026/09/22 22:49:40.840', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
50.48061800003052,20.23721683634683,"['2026/09/22 22:49:45.881', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
55.52216339111328,20.176589586031476,"['2026/09/22 22:49:50.928', ' 6', ' 49', ' 43.92', ' 585', ' 5000']"
60.56452703475952,20.262995377079832,"['2026/09/22 22:49:55.969', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
65.6087863445282,20.14128218668227,"['2026/09/22 22:50:01.011', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
70.65141892433167,20.214470557924695,"['2026/09/22 22:50:06.056', ' 0', ' 49', ' 30.90', ' 585', ' 5000']"
75.69477891921997,20.087998713942465,"['2026/09/22 22:50:11.100', ' 0', ' 49', ' 39.82', ' 585', ' 5000']"
80.7383964061737,20.081233396827248,"['2026/09/22 22:50:16.142', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
85.78223705291748,19.98612615394702,"['2026/09/22 22:50:21.188', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
90.83127307891846,20.186958965563306,"['2026/09/22 22:50:26.232', ' 6', ' 49', ' 41.08', ' 585', ' 5000']"
95.87958192825317,19.429609042832542,"['2026/09/22 22:50:31.283', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
100.9207398891449,20.23549761943223,"['2026/09/22 22:50:36.326', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
105.96471786499023,19.821148748991355,"['2026/09/22 22:50:41.371', ' 0', ' 49', ' 39.23', ' 585', ' 5000']"
111.01510739326477,19.910387143169913,"['2026/09/22 22:50:46.415', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
116.06556177139282,19.439986290265544,"['2026/09/22 22:50:51.467', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
121.10771012306213,20.171919586343474,"['2026/09/22 22:50:56.513', ' 6', ' 49', ' 38.94', ' 585', ' 5000']"
126.14837837219238,20.03344863208041,"['2026/09/22 22:51:01.554', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
131.1977241039276,20.11317750579212,"['2026/09/22 22:51:06.599', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
136.23944854736328,20.17824548230827,"['2026/09/22 22:51:11.645', ' 0', ' 49', ' 31.59', ' 585', ' 5000']"
141.28059649467468,20.226265924044718,"['2026/09/22 22:51:16.686', ' 0', ' 49', ' 43.55', ' 585', ' 5000']"
146.32167172431946,20.214595430138058,"['2026/09/22 22:51:21.727', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
151.36574625968933,20.028558615176223,"['2026/09/22 22:51:26.769', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
156.41399836540222,19.978857119343598,"['2026/09/22 22:51:31.817', ' 6', ' 49', ' 33.45', ' 585', ' 5000']"
161.45837354660034,20.27760546426588,"['2026/09/22 22:51:36.861', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
166.4995653629303,20.20446199059567,"['2026/09/22 22:51:41.905', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
171.54141497612,20.208208098916923,"['2026/09/22 22:51:46.946', ' 0', ' 49', ' 31.19', ' 585', ' 5000']"
176.5866458415985,20.224313458298223,"['2026/09/22 22:51:51.988', ' 0', ' 49', ' 32.28', ' 585', ' 5000']"
181.6281487941742,20.168838038201365,"['2026/09/22 22:51:57.034', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
186.67255067825317,20.26332997440179,"['2026/09/22 22:52:02.075', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
191.71781992912292,19.899645812967712,"['2026/09/22 22:52:07.123', ' 5', ' 49', ' 40.69', ' 585', ' 5000']"
196.76044464111328,20.243318390694085,"['2026/09/22 22:52:12.165', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
201.80436849594116,20.235363550740864,"['2026/09/22 22:52:17.207', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
206.8499391078949,20.21620701889936,"['2026/09/22 22:52:22.251', ' 0', ' 49', ' 30.70', ' 585', ' 5000']"
