technique,configuration,time_sec,peak_gpu_memory_mb,final_5_step_mean_loss
Tensor placement,cpu_then_transfer,0.3059945840000182,1181.015625,0.534648859500885
Tensor placement,device_resident,0.18220394599984502,1185.90966796875,0.534648859500885
Weight initialization,default,0.19674182099993232,1181.015625,0.534648859500885
Weight initialization,xavier,0.2027697389999048,1181.015625,0.6879479289054871
Activation checkpointing,disabled,0.19181398399996397,1181.015625,0.534648859500885
Activation checkpointing,enabled,0.30470497400006025,1182.015625,0.534648859500885
Gradient accumulation,1 micro-batch(es),0.2093679339998289,1182.015625,0.534648859500885
Gradient accumulation,4 micro-batch(es),0.5534912230000373,1181.921875,0.5361182942986489
Mixed precision,FP32,0.19928677699999753,1182.015625,0.534648859500885
Mixed precision,AMP FP16,0.4137374300000829,1182.01708984375,0.6028690338134766
