word,rank,neighbor_before,cosine_similarity_before,neighbor_after,cosine_similarity_after
cast,1,casts,0.72188800573349,casts,0.5920428037643433
cast,2,casting,0.7188456058502197,supporting,0.5878369212150574
cast,3,Cast,0.6638122200965881,casted,0.5735867619514465
score,1,scoring,0.71968013048172,scoring,0.5805955529212952
score,2,scores,0.659572422504425,scores,0.5802524089813232
score,3,scored,0.6384159326553345,scored,0.5410154461860657
plot,1,plots,0.7624845504760742,storyline,0.6497107744216919
plot,2,Plot,0.6524182558059692,plots,0.6321427226066589
plot,3,plotting,0.6327632069587708,story,0.6234012246131897
screen,1,screens,0.7728806734085083,screens,0.5891962051391602
screen,2,onscreen,0.6115447282791138,onscreen,0.5085574984550476
screen,3,LCD_screen,0.5599321126937866,cimino,0.4753340482711792
review,1,reviewed,0.6630409359931946,reviews,0.6100448966026306
review,2,reviewing,0.6609557271003723,comment,0.5839287638664246
review,3,reviews,0.6379557251930237,ebert,0.5520699620246887
