,0:neural,1:networks,2:are,3:powerful,4:models,5:for,6:learning,7:representations,8:from,9:data,10:they,11:consist,12:of,13:layers,14:of,15:interconnected,16:neurons,17:attention,18:mechanisms,19:allow,20:models,21:to,22:focus,23:on,24:relevant,25:parts,26:of,27:the,28:input,29:transformers,30:rely,31:entirely,32:on,33:attention,34:instead,35:of,36:recurrence,37:autoregressive,38:models,39:generate,40:text,41:one,42:token,43:at,44:a,45:time
0:neural,2.2252465e-07,8.9796853e-10,5.213154e-07,1.829245e-08,2.873436e-11,1.1833601e-09,4.0227008e-07,1.8442496e-08,3.078603e-08,1.3622493e-09,1.0902009e-07,2.1202166e-07,1.8256863e-08,1.8385915e-06,7.013691e-06,8.5908905e-11,5.089418e-06,3.551006e-07,0.9997814,6.193109e-08,1.8405404e-10,4.87931e-07,1.7126665e-09,8.178518e-09,4.862863e-06,1.6062578e-06,7.793547e-07,1.9187489e-07,2.0095156e-08,1.7058304e-07,1.4070596e-07,1.2965475e-12,2.0675861e-08,1.602318e-08,6.2697185e-09,1.6947342e-07,7.056314e-08,9.0439073e-07,1.385265e-09,2.4336527e-08,2.0251778e-10,1.7306535e-11,3.9324673e-06,9.854137e-09,0.0001892645,1.0464081e-07
1:networks,8.8871707e-07,9.644394e-05,0.0032822543,0.027300972,0.16443834,2.5836823e-06,0.00062373374,0.0032607778,5.3467265e-05,1.9432184e-06,1.8513101e-09,0.00016895829,6.5450664e-08,2.06069e-05,2.2834147e-08,0.0014572763,0.0022089444,5.3233623e-07,0.0012642926,0.00085292314,0.16905308,7.7620325e-07,3.8075082e-06,5.8502264e-06,3.7969126e-06,2.8916356e-05,1.5225502e-05,0.00021348453,2.3948996e-06,0.0024586418,0.6178921,2.126362e-06,4.5687942e-05,2.9613366e-06,0.0023231225,1.6474543e-08,1.96473e-06,0.00014843338,0.0007826034,5.7867666e-05,0.0001293024,0.0006955364,2.937077e-05,8.325123e-06,0.00011921839,0.000940482
2:are,8.84138e-05,0.0330134,0.05349009,0.019030962,0.0043241372,0.010848691,0.0039795,0.25417954,0.021714784,9.110728e-06,0.0007299557,0.00957435,0.0057255565,0.00024119859,0.0021913294,0.0059131146,0.005638044,0.0007322028,0.074939035,0.0053755203,0.0038346082,0.002524096,0.01180172,0.00033630308,0.00592665,0.00012793094,0.022422463,0.0027727033,0.0013546987,0.010253334,0.0108426865,8.503041e-06,0.0020684383,0.0060080057,0.0009127,0.004416723,3.6531997e-05,0.08961197,0.003528102,0.07568686,0.0005951203,0.0073675853,0.0006649146,0.20068157,0.011493753,0.012983139
3:powerful,8.6331085e-08,5.9246894e-08,1.488056e-10,6.566363e-10,4.2660977e-09,8.7184316e-07,7.757966e-09,1.3328473e-10,3.3375314e-09,3.2483743e-07,4.6854187e-09,6.361428e-09,2.5686406e-06,1.3958804e-09,1.3664162e-06,2.5809452e-06,3.3068122e-09,7.405756e-08,1.3655013e-10,3.0283218e-08,1.5805657e-10,5.19583e-09,3.5693446e-08,5.3493322e-06,6.3519766e-11,3.653477e-06,2.0781002e-08,4.72148e-10,6.254258e-08,1.9112487e-10,2.0284882e-10,0.9999671,1.0288961e-06,2.0247853e-06,3.2638837e-08,9.056709e-06,9.802368e-09,1.9749331e-10,3.7728745e-10,2.8517897e-07,3.1027957e-06,2.1738597e-07,5.1934396e-10,1.9409855e-08,1.3945331e-10,1.7922135e-08
4:models,0.0019595223,0.0005058236,0.0052034524,0.008620213,0.0002152657,0.00024247055,0.0025890153,8.0130514e-05,0.00024981642,0.0004973105,0.0020513851,0.00021395012,4.8973227e-05,0.0039071627,0.0008787737,4.64577e-05,0.8048098,0.001523044,0.005804472,0.0019515906,0.0009299971,0.0008111865,0.00019942685,0.00013558444,0.0038215334,7.347049e-05,0.000479629,0.0028297899,0.00039891287,0.00063618564,0.001413123,9.728367e-05,2.798437e-05,2.8323182e-05,0.00036917024,8.989456e-05,0.00092788367,0.028926091,0.00081746024,1.3982961e-05,0.00011920525,0.00048500628,0.10447299,0.00026555973,0.008264697,0.0019668557
5:for,1.3134514e-05,0.004710548,0.00014236396,0.00087954156,0.023109375,0.0009331014,0.001858343,0.0015941584,0.003583943,3.0646464e-05,2.0175748e-06,0.003056337,0.00036209833,9.967091e-05,0.0002299441,0.059914697,0.00081705366,3.0252386e-05,7.6684846e-05,0.0008396951,0.727602,5.9190974e-05,2.8866696e-05,4.7917445e-05,7.648239e-05,1.31610595e-05,0.0033489263,7.113268e-05,0.00025625306,0.10300663,0.0044256006,0.0021491225,0.00012662052,0.00018691541,0.00031519996,0.00012773818,0.00027951066,2.7294936e-05,0.0013981765,0.00020857091,0.0026953232,0.04676963,0.00035605064,7.079126e-05,5.1968083e-05,0.004017307
6:learning,0.2986815,0.00085443485,0.00011014573,0.0025268686,0.00024338099,0.009171501,0.00048092476,0.0001288578,0.52105683,0.0043736757,0.06663124,9.591134e-05,0.00026564125,0.0049937703,0.0011269792,6.7233006e-05,0.00016347386,0.0019080507,0.0016113694,0.0026869865,0.00012369333,0.0044685067,0.0009561558,0.0022892265,0.0011902786,0.015221,0.0010532163,4.5922443e-05,0.00015669517,0.0010482656,0.00023735478,0.015577166,0.0007928719,0.0018093874,0.00019651503,0.0021997867,0.029192334,0.0004578343,0.00024879715,0.00021820131,0.000106640284,0.0005203961,0.0028444678,0.00067346403,0.001120297,7.265255e-05
7:representations,1.7336542e-05,7.877222e-06,0.0002088907,0.0028790145,4.759531e-08,0.00015568375,2.8305935e-06,3.121521e-05,4.8091642e-06,7.003183e-07,0.00048701427,1.3144539e-06,4.742563e-06,0.00021154845,2.4031151e-05,6.040459e-08,0.0004388859,2.0342735e-05,2.86773e-05,3.8105187e-05,1.8142794e-07,3.000195e-05,0.00017206445,2.223353e-07,0.0002477194,2.3429232e-08,1.642484e-05,4.0196268e-05,7.238634e-07,1.4768898e-06,1.5063139e-05,2.240793e-09,1.0435026e-07,3.9537756e-08,1.9599626e-07,1.5193216e-05,1.5806401e-07,0.9944832,1.0455982e-06,1.10361405e-07,9.0099626e-08,5.982416e-07,0.000337006,4.924452e-05,9.420548e-06,1.6312415e-05
8:from,2.6456064e-07,2.6562776e-07,3.607671e-06,0.9997241,2.0826887e-05,1.7151821e-07,1.9124216e-06,2.3190019e-07,2.289659e-06,2.552758e-06,4.2994555e-09,4.929129e-07,7.913555e-08,1.4718819e-06,3.742057e-09,7.359873e-08,7.5708826e-06,1.6188392e-07,2.4276721e-06,0.00011652098,1.6943413e-05,3.8140353e-09,1.5248607e-06,3.6450263e-07,9.482819e-08,3.874447e-06,3.499268e-07,8.1784904e-08,4.6235164e-07,6.800836e-07,4.6274734e-05,1.627813e-06,1.3821942e-07,1.04320556e-07,4.3397336e-06,1.657342e-08,3.5783533e-08,1.8475785e-06,9.867857e-07,6.4742862e-06,1.909745e-07,1.1023781e-06,2.445375e-05,2.1815839e-07,1.8621758e-06,7.961385e-07
9:data,1.2201301e-05,0.00016484123,1.7285297e-06,0.00050581666,3.718933e-08,1.6955053e-05,1.2140619e-05,2.2319612e-06,3.3419385e-06,1.7313634e-05,1.06011685e-05,9.450246e-06,0.14303768,0.00010588817,0.12908877,7.021691e-07,0.00027802333,0.015679374,0.00035296695,4.2031747e-06,5.7868383e-06,3.7234652e-06,0.00044385123,9.014766e-07,0.00066071324,0.00017631733,0.0069179423,0.00019013739,0.009851225,9.956947e-06,2.3458733e-06,1.5226033e-07,2.4820638e-08,0.0029831177,5.086877e-07,0.06798188,4.705604e-06,0.00026442864,6.372449e-07,0.00013750742,1.0751473e-06,4.2290685e-06,0.6208944,8.976582e-05,5.6344365e-05,1.4151367e-05
